,PC_ID,Title,loose_price,cib_price,new_price
438,12275,Isolated Warrior,54.77,116.15,131.25
439,3402853,I’m Kid Dracula [Homebrew],,,
440,9155,Jack Nicklaus Golf,2.76,18.48,87.00
441,12276,Jackal,9.15,86.11,468.75
442,12277,Jackie Chan's Action Kung Fu,82.21,251.22,"1,005.00"
443,9161,James Bond Jr,48.99,149.76,384.21
444,12278,Jaws,9.97,69.50,786.58
445,39519,Jaws [5 Screw],699.54,"2,000.00",800.00
446,99166,Jay and Silent Bob Mall Brawl [Homebrew],58.00,95.03,74.99
447,99112,Jay and Silent Bob Mall Brawl [Premium Edition],133.64,,118.65
448,9169,Jeopardy,5.66,17.62,168.48
449,9170,Jeopardy 25th Anniversary,4.85,14.05,104.53
450,9172,Jeopardy Jr,4.89,21.25,43.33
451,9176,Jetsons Cogswell's Caper,249.95,685.17,"2,276.26"
452,3001676,Jim Power: The Lost Dimension [Homebrew],27.00,28.17,47.50
453,9177,Jimmy Connors Tennis,135.00,197.57,790.00
454,9179,Joe and Mac,21.47,84.42,415.40
455,12279,John Elway's Quarterback,3.08,18.17,136.11
456,12280,Jordan vs Bird One on One,4.50,48.61,679.99
457,12281,Joshua: The Battle of Jericho,23.53,81.58,171.72
458,12282,Journey to Silius,36.17,150.50,559.00
459,12283,Joust,9.25,25.98,164.10
460,5177436,Joy Mech Fight [Homebrew],,,
461,71648,Joystick Test Cartridge,"1,250.00",,
462,9190,Jurassic Park,16.22,66.77,692.27
463,2529538,Justice Duel [Homebrew],28.33,35.99,12.95
464,12284,Kabuki Quantum Fighter,22.50,79.65,156.38
465,12285,Karate Champ,7.21,29.87,665.00
466,39518,Karate Champ [5 Screw],7.90,61.45,246.00
467,12286,Karnov,8.88,62.86,251.00
468,2291088,Kevin Power in Too Many Games [Homebrew],,,
469,9204,Kick Master,107.74,285.47,"1,142.00"
470,12287,Kickle Cubicle,25.00,75.67,404.89
471,11996,Kid Icarus,23.00,159.99,"4,374.80"
472,38010,Kid Icarus [5 Screw],27.74,213.36,853.00
473,9205,Kid Klown in Night Mayor World,523.34,"1,174.99","4,700.00"
474,12288,Kid Kool,14.88,55.49,458.49
475,12289,Kid Niki Radical Ninja,11.95,146.25,585.00
476,38041,Kid Niki Radical Ninja [5 Screw],32.99,229.16,917.00
477,9212,King's Knight,7.31,50.00,125.12
478,12291,King's Quest V,28.70,90.00,699.99
479,16437,King Neptune's Adventure,158.64,183.50,734.00
480,12290,King of Kings,14.18,65.00,138.53
481,2512538,King of Kings [Camel Cover],17.52,199.99,800.00
482,12292,Kings of the Beach,4.89,18.44,74.00
483,3343492,Kira Kira Star Night DX [Collector's Edition],135.00,,85.00
484,2836926,Kira Kira Star Night DX [Homebrew],50.00,61.00,59.87
485,9213,Kirby's Adventure,23.95,80.85,233.44
486,5385441,Kirby's Adventure [French],,,
487,12293,Kiwi Kraze,46.00,118.62,255.00
488,12294,Klash Ball,21.74,65.72,200.00
489,12295,Klax,8.87,31.05,136.93
490,12296,Knight Rider,10.83,46.04,244.25
491,12297,Krazy Kreatures,12.50,69.99,169.95
