PC_ID,Loose_Price,CIB_Price,New_Price,Image_URL
11604,7.74,13.97,17.91,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv97ux3RFQi-1GAYiKr2unwaWoGJU7Kr5d43Ot4EwF8W0KPPSSX2T4n8JAfeSJ-UMcBZrHQY0BvrgRgXdTMJ8wwNbbSmMNnor1GF5mGS4Ua4aSsQX1XUK04wXjyqsusVI53-3z2xuSSJq_mxrDXT-j6I9CgsQiw/60.jpg
1995,5.99,14.77,16.36,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94vrrGfjcFSi0jRuOpP89yHv9T8pmZbsJME8imoX2cWFw-c7petbM9UlYW_aO9KIg-4ib-y1LBM509VG8NYktZspoFwbra4UEksKhwQEKE2jDv5Om4VZkw7gJDoh-_n3V1U5BY3dns4Ec_PVEfeD2SnSLOc2w/60.jpg
11587,3.69,4.81,12.49,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95IZLTu33wbgLcqmcwXkMdqRepBu7A5oDK5a8GDjjCJcmLkxptQcaArEyjAQKt3ihPXbc9gGzuMIPJOCRMUTC_OIAuuqOZg8HNhSfHjZVfCjdfCQg6SIfbY2s0A8fQyliaWDzrm5LqtVcrUMO8e8MnK7ocrEQ/60.jpg
11606,4.90,8.99,14.04,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv972JwPi9r0pG3zLnzPY_IW7o_Wt9mASCtfGiXgZxbUKNX9CNqJDIa32Hiuv2Rm8PTleGvHDB_uJUt2fmle_6UQTJVVeCbqGVb33H-lCg9Varu7jMDmu2YMw5a-J6nBGisaDhFTZmsFI84hHIVJQpXg4Kx5WFQ/60.jpg
1996,5.13,11.47,24.53,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv954ncip8ysQvFX3Hfcpsc-346hPqIGjrQX5b_0HiwyXdIXbD3hZV2v20He8QZGfEx9KTk9IXBitQrWmxFkQccrq9Zy5YUeWi-_DsjTXG9eRV2iiPEWM7QFYATohwJoo-fPa1wl0K03wUQ7vf7kQYIuSkiFHVw/60.jpg
11588,4.57,7.98,14.99,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv94RfONQS09krw_gUGGF7-VlDN8VVxDEOcZTkqurYlXrQSplKqTymF6iLIxnRJuZ6KZcgGh0P5orhlGpbXEI-hrRL-EpasLhx3yRQ0WYmkhUaxhu4vq_aal1x2YdKR5QLrpOFHry22ueVBYGDeYSbKGNbHji9Q/60.jpg
1997,34.12,53.45,144.33,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv974D2rtGve0GXj9aJ_X2J7xvnrLSJ750UOjTGPKeArsFxmlydAKYuYBwKXSgCnFxOYsM7mPYFFus-NTCtsEV7FK8bzpabVRGrF0dSLQxuPQfv3fWAkVCQzokhdj6Zo36qY8WlDYVcnJJhwOcVyRWEyKiEclCA/60.jpg
11434,18.74,38.00,57.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv96ww0woGE10cMHooFgcJMp8wae6s7MGJz9ZRo7gf01cnrQRxG6gZIrhuEwGOtmPDlZuDXjglcX8zkdg9EjEwUjZ8AyVJmDm392qSwyXoATEeD2ywIYEfw0Z2qej4GKEVwjGIo_LcLz3mh8sbYcdNDcscGRuyw/60.jpg
14647,7.80,10.02,14.99,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95v2Zs-MtX6WVR0u3ckOCSr9873AH8gBSoZX8jxvl8_pRpDatp-RiVY6D67aGHYke2BvPzFMof4Lc8pIlJ55i6h4C1YM8mg9gXBXlK80WRKdtwP7tr0oix6jSu5_K8Jo0nWN2FCpgzmNnA1UlvuNmuYnbwXXg/60.jpg
1998,20.30,83.57,169.00,https://commondatastorage.googleapis.com/images.pricecharting.com/AMIfv95R_HBIjvnFdydMsjpYsBVrrTIQL3s9dZ_70VE3TfK6p6l3V9QdPeMmCT9Lg3Xd0bnjPUWZt2hh-flg_SYD0yKFChVFVkqjP-l6yCRni29s0p_A80sSjuHpfFiYd1pGbuFbjx7Gu_PVg-3k4JL7-Xv4CIwGnw/60.jpg
